gameDuration,win,FirstBlood,FirstTower,FirstBaron,FirstDragon,wardPlaced,wardKills,totalMinionKills,jungleMinionKills,totalHeal
919,Red,1,1,1,1,1,1,1,1,1
1511,Blue,1,0,0,1,0,1,1,0,0
953,Blue,0,1,0,1,1,1,1,1,0
2301,Blue,0,1,1,0,0,1,0,1,1
2119,Blue,0,1,1,1,0,1,1,0,0
2152,Blue,1,1,0,0,0,1,0,1,1
951,Red,1,1,1,0,1,1,1,1,0
1232,Blue,1,0,0,0,1,1,1,1,1
1806,Red,0,0,1,1,1,1,1,1,1
937,Red,1,1,1,0,1,0,1,1,1
1745,Red,1,1,1,0,1,1,1,1,0
1285,Red,0,1,1,1,1,0,1,1,1
1693,Red,1,1,1,1,0,1,1,0,1
2278,Red,1,0,1,1,0,1,0,0,1
1568,Red,0,1,1,0,0,0,1,0,1
1811,Red,1,1,1,1,1,1,1,1,1
1634,Blue,0,1,0,0,0,0,0,1,1
1760,Red,1,0,1,0,1,0,0,1,0
1953,Red,0,0,1,1,0,1,0,1,1
1575,Blue,0,1,0,0,0,1,1,1,0
1782,Blue,0,1,0,0,0,1,0,1,1
1442,Red,0,0,1,1,1,1,1,0,1
917,Blue,1,1,0,1,0,1,1,1,1
206,Red,0,1,1,1,1,0,1,1,1
1918,Blue,0,1,0,0,0,1,1,1,0
1529,Blue,0,1,1,1,1,1,0,1,1
1593,Red,1,0,1,1,0,0,1,1,1
1250,Blue,1,1,0,0,1,1,1,1,1
2269,Blue,0,0,0,0,1,0,1,0,0
1889,Red,1,0,0,0,0,1,1,0,1
1721,Blue,1,0,0,1,1,0,0,1,1
2009,Blue,0,1,0,0,0,0,0,1,1
1900,Blue,1,1,1,0,1,0,0,1,0
1645,Red,0,1,0,0,0,1,0,1,1
1914,Blue,0,1,0,1,0,1,1,1,1
2095,Blue,0,0,1,1,0,1,0,1,1
1473,Blue,1,1,0,0,0,1,1,1,1
946,Red,1,1,1,1,1,0,1,1,1
976,Blue,1,1,0,1,0,1,1,1,0
1014,Blue,0,1,0,1,1,1,1,1,1
1868,Blue,0,0,1,1,0,1,0,0,1
2418,Blue,0,0,0,0,1,1,0,1,1
1425,Blue,1,0,1,0,0,1,1,1,0
1882,Red,1,1,0,1,1,1,0,1,0
2211,Blue,1,1,0,0,0,0,0,0,1
2030,Blue,0,1,0,1,1,1,1,1,1
1531,Blue,1,1,0,0,1,0,1,1,1
1419,Red,0,1,1,1,1,1,0,1,1
1884,Red,0,0,1,1,1,1,1,0,1
1290,Blue,1,1,0,1,1,1,1,1,1
1389,Blue,1,1,0,1,1,1,1,1,1
1119,Red,1,1,1,1,0,1,1,1,1
1315,Red,1,1,1,1,0,1,1,1,0
1808,Blue,1,1,1,1,1,0,0,1,1
1718,Red,1,1,1,1,1,1,0,0,0
2464,Red,1,0,1,0,0,0,0,1,1
1659,Red,1,0,1,0,1,1,1,1,1
2011,Red,0,0,1,0,1,1,1,0,1
1707,Red,1,0,1,1,1,1,0,1,0
1606,Blue,0,1,1,1,0,0,0,1,1
2361,Blue,1,0,0,1,1,0,0,1,0
976,Red,1,1,1,0,0,1,1,0,1
2042,Red,1,1,0,1,0,1,1,0,1
1656,Red,1,1,1,1,1,0,0,1,1
1781,Blue,1,1,0,0,0,1,0,1,1
913,Red,1,1,1,0,1,0,1,1,1
1852,Red,1,1,1,1,1,0,0,1,1
1403,Blue,0,1,0,0,1,1,1,0,1
1768,Blue,0,0,1,0,0,1,0,1,1
1261,Red,1,1,1,0,1,1,1,1,1
1918,Red,0,0,1,1,1,0,1,0,0
1629,Blue,0,0,1,1,0,1,0,0,0
1445,Red,1,1,1,0,0,1,0,1,1
1531,Blue,1,1,1,1,1,0,1,1,1
2171,Red,1,0,0,0,0,1,0,1,1
1701,Blue,1,1,1,0,0,1,1,0,1
1746,Red,0,1,1,1,1,0,0,1,1
1432,Red,1,0,1,1,0,0,1,0,1
1247,Blue,1,1,0,1,1,0,1,1,1
1332,Blue,1,1,0,1,1,0,1,1,1
2033,Red,1,0,1,1,1,1,1,0,0
971,Red,1,1,1,1,1,0,1,1,1
2501,Red,0,1,1,1,1,1,0,1,1
957,Blue,1,1,0,0,0,1,1,1,1
1383,Red,1,0,1,1,0,1,1,1,1
1291,Red,1,1,1,1,1,0,1,1,1
1139,Blue,1,1,0,0,0,1,1,0,1
1037,Blue,1,1,0,0,0,1,1,1,1
928,Blue,1,1,0,0,0,1,1,1,1
2095,Blue,0,1,1,0,0,1,0,1,0
1224,Red,1,1,1,0,1,1,0,1,1
1387,Blue,1,1,0,1,1,0,1,1,0
1895,Red,1,0,1,0,1,1,0,0,1
919,Red,0,1,1,1,1,0,1,0,1
2026,Red,0,1,0,1,1,1,1,1,0
1806,Blue,0,1,1,0,1,1,1,1,1
1779,Blue,0,0,0,1,1,1,1,1,1
1231,Blue,1,1,0,1,0,1,0,1,1
1018,Red,0,1,1,0,1,1,1,1,0
908,Red,1,1,1,1,1,0,1,1,1
1926,Blue,0,0,1,0,0,1,0,0,1
1321,Red,1,1,1,1,1,1,1,1,1
1657,Red,0,1,1,1,1,0,1,1,1
1586,Red,1,0,1,1,1,0,1,1,1
1116,Red,0,1,1,1,1,0,0,1,0
1621,Blue,1,0,1,0,0,0,1,1,1
1465,Red,1,1,1,1,1,1,1,1,1
931,Red,1,1,1,1,1,1,1,1,1
2123,Blue,1,1,0,0,1,1,0,0,0
1599,Red,1,0,1,1,0,1,0,1,1
2090,Red,0,0,1,0,0,1,0,1,1
1158,Red,1,1,1,0,1,0,1,0,1
2164,Blue,1,1,0,0,1,0,1,1,0
1700,Red,1,0,1,0,0,1,1,1,1
1270,Red,1,1,1,0,1,1,1,1,0
945,Red,1,1,1,1,0,1,1,1,1
1269,Red,0,1,1,1,1,0,0,1,1
1413,Red,0,0,0,1,0,0,1,1,1
1599,Blue,1,1,0,1,1,0,1,1,1
1088,Red,1,1,1,0,1,0,1,1,1
1854,Red,1,0,1,1,0,1,0,0,1
1574,Red,0,1,1,1,0,1,1,1,1
1530,Blue,0,1,0,0,1,1,1,1,0
1948,Red,1,1,0,1,0,1,0,0,1
1600,Blue,1,1,1,0,0,1,1,1,1
